"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"0378-1097","CIÊNCIAS BIOLÓGICAS II                            ","FEMS Microbiology Letters","B2",2008
"0168-6445","CIÊNCIAS BIOLÓGICAS II                            ","FEMS Microbiology Reviews (Print)","A1",2008
"1567-1356","CIÊNCIAS BIOLÓGICAS II                            ","FEMS Yeast Research","B1",2008
"0015-0282","CIÊNCIAS BIOLÓGICAS II                            ","Fertility and Sterility","B1",2008
"1015-3837","CIÊNCIAS BIOLÓGICAS II                            ","Fetal Diagnosis and Therapy","B3",2008
"1050-4648","CIÊNCIAS BIOLÓGICAS II                            ","Fish & Shellfish Immunology (Print)","B1",2008
"0920-1742","CIÊNCIAS BIOLÓGICAS II                            ","Fish Physiology and Biochemistry","B4",2008
"0165-7836","CIÊNCIAS BIOLÓGICAS II                            ","Fisheries Research","B3",2008
"1809-2950","CIÊNCIAS BIOLÓGICAS II                            ","Fisioterapia e Pesquisa","C ",2008
"1519-9088","CIÊNCIAS BIOLÓGICAS II                            ","Fitness & Performance Journal (Impresso)","C ",2008
"0100-4158","CIÊNCIAS BIOLÓGICAS II                            ","Fitopatologia Brasileira (Impresso) (Cessou em 2007. Cont. ISSN 1982-5676 Tropical Plant Pathology (Impresso))","C ",2008
"0367-326X","CIÊNCIAS BIOLÓGICAS II                            ","Fitoterapia (Milano, 1934) (Cessou em 1960. Foi fundido com ISSN 1971-5498 Fitoterapia. Edizione Farmaceutica; ISSN 1971-5501 Fitoterapia. Edizione Medica)","B3",2008
"0015-5632","CIÊNCIAS BIOLÓGICAS II                            ","Folia Microbiologica (Prague)","B4",2008
"0015-5683","CIÊNCIAS BIOLÓGICAS II                            ","Folia Parasitologica (Praha)","B3",2008
"0265-203X","CIÊNCIAS BIOLÓGICAS II                            ","Food Additives and Contaminants (Cessou em 2008. Foi desdobrado em dois: Food Additives & Contaminants. Part B, Surveillance e Food Additives & Contaminants. Part A, Chemistry, Analysis, Control, Exposure & Risk Assessment)","B2",2008
"0278-6915","CIÊNCIAS BIOLÓGICAS II                            ","Food and Chemical Toxicology","B2",2008
"1557-1858","CIÊNCIAS BIOLÓGICAS II                            ","Food Biophysics","B2",2008
"0308-8146","CIÊNCIAS BIOLÓGICAS II                            ","Food Chemistry","B1",2008
"0956-7135","CIÊNCIAS BIOLÓGICAS II                            ","Food Control","B2",2008
"0268-005X","CIÊNCIAS BIOLÓGICAS II                            ","Food Hydrocolloids","B1",2008
"0740-0020","CIÊNCIAS BIOLÓGICAS II                            ","Food Microbiology (Print)","B2",2008
"1330-9862","CIÊNCIAS BIOLÓGICAS II                            ","Food Technology and Biotechnology","B4",2008
"0379-0738","CIÊNCIAS BIOLÓGICAS II                            ","Forensic Science International","B2",2008
"0891-5849","CIÊNCIAS BIOLÓGICAS II                            ","Free Radical Biology & Medicine","A1",2008
"1071-5762","CIÊNCIAS BIOLÓGICAS II                            ","Free Radical Research","B1",2008
"1018-4619","CIÊNCIAS BIOLÓGICAS II                            ","Fresenius Environmental Bulletin","B4",2008
"1093-9946","CIÊNCIAS BIOLÓGICAS II                            ","Frontiers in Bioscience (Print)","B1",2008
"1662-4548","CIÊNCIAS BIOLÓGICAS II                            ","Frontiers in Neuroscience (Print)","B1",2008
"0269-8463","CIÊNCIAS BIOLÓGICAS II                            ","Functional Ecology (Print)","B1",2008
"1749-0472","CIÊNCIAS BIOLÓGICAS II                            ","Functional Plant Science & Biotechnology","C ",2008
"0767-3981","CIÊNCIAS BIOLÓGICAS II                            ","Fundamental & Clinical Pharmacology","B2",2008
"1087-1845","CIÊNCIAS BIOLÓGICAS II                            ","Fungal Genetics and Biology (Print)","A2",2008
"1479-6678","CIÊNCIAS BIOLÓGICAS II                            ","Future Cardiology (Print)","C ",2008
"1479-6708","CIÊNCIAS BIOLÓGICAS II                            ","Future Neurology","C ",2008
"0966-6362","CIÊNCIAS BIOLÓGICAS II                            ","Gait & Posture (Oxford)","B2",2008
"0399-8320","CIÊNCIAS BIOLÓGICAS II                            ","Gastroentérologie Clinique et Biologique","B3",2008
"0016-545X","CIÊNCIAS BIOLÓGICAS II                            ","Gazeta Medica da Bahia","C ",2008
"0378-1119","CIÊNCIAS BIOLÓGICAS II                            ","Gene (Amsterdam)","B1",2008
"0016-6480","CIÊNCIAS BIOLÓGICAS II                            ","General and Comparative Endocrinology (Print)","B1",2008
"0163-8343","CIÊNCIAS BIOLÓGICAS II                            ","General Hospital Psychiatry","B2",2008
"0890-9369","CIÊNCIAS BIOLÓGICAS II                            ","Genes & Development","A1",2008
"1466-4879","CIÊNCIAS BIOLÓGICAS II                            ","Genes and Immunity","A2",2008
"1601-183X","CIÊNCIAS BIOLÓGICAS II                            ","Genes, Brain and Behavior (Online)","A2",2008
"1601-1848","CIÊNCIAS BIOLÓGICAS II                            ","Genes, Brain and Behavior (Print)","A2",2008
"1526-954X","CIÊNCIAS BIOLÓGICAS II                            ","Genesis (New York, N.Y. 2000. Print)","B1",2008
"1090-6576","CIÊNCIAS BIOLÓGICAS II                            ","Genetic Testing (Cessou em 2008. Cont. ISSN 1945-0265 Genetic Testing and Molecular Biomarkers)","B3",2008
"0016-6707","CIÊNCIAS BIOLÓGICAS II                            ","Genetica ('s-Gravenhage)","B2",2008
"0016-6731","CIÊNCIAS BIOLÓGICAS II                            ","Genetics (Austin, Tex.)","A2",2008
"1415-4757","CIÊNCIAS BIOLÓGICAS II                            ","Genetics and Molecular Biology (Impresso)","B4",2008
"0831-2796","CIÊNCIAS BIOLÓGICAS II                            ","Genome (Ottawa. Print)","B2",2008
"1088-9051","CIÊNCIAS BIOLÓGICAS II                            ","Genome Research","A1",2008
"0888-7543","CIÊNCIAS BIOLÓGICAS II                            ","Genomics (San Diego, Calif.)","A2",2008
"0149-0451","CIÊNCIAS BIOLÓGICAS II                            ","Geomicrobiology Journal","B2",2008
"0304-324X","CIÊNCIAS BIOLÓGICAS II                            ","Gerontology (Basel)","B2",2008
"0894-1491","CIÊNCIAS BIOLÓGICAS II                            ","GLIA (New York, N.Y. : Print)","A1",2008
"0959-6658","CIÊNCIAS BIOLÓGICAS II                            ","Glycobiology (Oxford)","A2",2008
"0282-0080","CIÊNCIAS BIOLÓGICAS II                            ","Glycoconjugate Journal","B2",2008
"0721-832X","CIÊNCIAS BIOLÓGICAS II                            ","Graefe's Archive for Clinical and Experimental Ophthalmology","B2",2008
"0897-7194","CIÊNCIAS BIOLÓGICAS II                            ","Growth Factors (Print)","A2",2008
"1096-6374","CIÊNCIAS BIOLÓGICAS II                            ","Growth Hormone & IGF Research","B2",2008
"0017-5749","CIÊNCIAS BIOLÓGICAS II                            ","Gut (London)","A1",2008
"0378-7346","CIÊNCIAS BIOLÓGICAS II                            ","Gynecologic and Obstetric Investigation","B3",2008
"0090-8258","CIÊNCIAS BIOLÓGICAS II                            ","Gynecologic Oncology (Print)","B1",2008
"0951-3590","CIÊNCIAS BIOLÓGICAS II                            ","Gynecological Endocrinology","B3",2008
"0390-6078","CIÊNCIAS BIOLÓGICAS II                            ","Haematologica (Roma)","A1",2008
"1351-8216","CIÊNCIAS BIOLÓGICAS II                            ","Haemophilia (Oxford. Print)","B2",2008
"1746-160X","CIÊNCIAS BIOLÓGICAS II                            ","Head & Face Medicine","C ",2008
"1936-0568","CIÊNCIAS BIOLÓGICAS II                            ","Head and Neck  Pathology","C ",2008
"0378-5955","CIÊNCIAS BIOLÓGICAS II                            ","Hearing Research","B2",2008
"0018-019X","CIÊNCIAS BIOLÓGICAS II                            ","Helvetica Chimica Acta","B2",2008
"0363-0269","CIÊNCIAS BIOLÓGICAS II                            ","Hemoglobin","B4",2008
"0270-9139","CIÊNCIAS BIOLÓGICAS II                            ","Hepatology (Baltimore, Md.)","A1",2008
"1386-6346","CIÊNCIAS BIOLÓGICAS II                            ","Hepatology Research (Print)","B2",2008
"0018-0661","CIÊNCIAS BIOLÓGICAS II                            ","Hereditas (Lund) (Cessou em 2004.)","B4",2008
"1042-7163","CIÊNCIAS BIOLÓGICAS II                            ","Heteroatom Chemistry (Print)","B4",2008
"0793-0283","CIÊNCIAS BIOLÓGICAS II                            ","Heterocyclic Communications","B4",2008
"1809-4260","CIÊNCIAS BIOLÓGICAS II                            ","Hipertensão (São Paulo. Impresso)","C ",2008
"0212-8241","CIÊNCIAS BIOLÓGICAS II                            ","Hipertensión (Madrid. Ed. impresa) (Cessou em 2008. Cont. ISSN 1889-1837 Hipertensión y Riesgo Vascular)","C ",2008
"1050-9631","CIÊNCIAS BIOLÓGICAS II                            ","Hippocampus (New York, N.Y. Print)","A1",2008
"0948-6143","CIÊNCIAS BIOLÓGICAS II                            ","Histochemistry and Cell Biology","B1",2008
"0213-3911","CIÊNCIAS BIOLÓGICAS II                            ","Histology and Histopathology","B2",2008
"0309-0167","CIÊNCIAS BIOLÓGICAS II                            ","Histopathology (Oxford. Print)","A2",2008
"0018-5043","CIÊNCIAS BIOLÓGICAS II                            ","Hormone and Metabolic Research","B2",2008
"0301-0163","CIÊNCIAS BIOLÓGICAS II                            ","Hormone Research","B2",2008
"0018-506X","CIÊNCIAS BIOLÓGICAS II                            ","Hormones and Behavior (Print)","A2",2008
"0103-3123","CIÊNCIAS BIOLÓGICAS II                            ","HU Revista (UFJF. Impresso)","C ",2008
"0960-3271","CIÊNCIAS BIOLÓGICAS II                            ","Human & Experimental Toxicology","B3",2008
"0018-7143","CIÊNCIAS BIOLÓGICAS II                            ","Human Biology (Print)","B4",2008
"1043-0342","CIÊNCIAS BIOLÓGICAS II                            ","Human Gene Therapy","A2",2008
"0340-6717","CIÊNCIAS BIOLÓGICAS II                            ","Human Genetics","A2",2008
"0001-5652","CIÊNCIAS BIOLÓGICAS II                            ","Human Heredity","B2",2008
"0198-8859","CIÊNCIAS BIOLÓGICAS II                            ","Human Immunology","B1",2008
"0046-8177","CIÊNCIAS BIOLÓGICAS II                            ","Human Pathology (Print)","B1",2008
"0885-6222","CIÊNCIAS BIOLÓGICAS II                            ","Human Psychopharmacology","B2",2008
"0304-386X","CIÊNCIAS BIOLÓGICAS II                            ","Hydrometallurgy (Amsterdam)","B3",2008
"0194-911X","CIÊNCIAS BIOLÓGICAS II                            ","Hypertension (Dallas, Tex. 1979)","A1",2008
"0815-3817","CIÊNCIAS BIOLÓGICAS II                            ","Hypertension (Woden)","C ",2008
"1064-1955","CIÊNCIAS BIOLÓGICAS II                            ","Hypertension in Pregnancy (Print)","B3",2008
"0916-9636","CIÊNCIAS BIOLÓGICAS II                            ","Hypertension Research","B1",2008
"1054-3139","CIÊNCIAS BIOLÓGICAS II                            ","ICES Journal of Marine Science (Print)","B2",2008
"1530-437X","CIÊNCIAS BIOLÓGICAS II                            ","IEEE Sensors Journal","B2",2008
"1070-9908","CIÊNCIAS BIOLÓGICAS II                            ","IEEE Signal Processing Letters","B3",2008
"1074-7613","CIÊNCIAS BIOLÓGICAS II                            ","Immunity (Cambridge, Mass.)","A1",2008
"0171-2985","CIÊNCIAS BIOLÓGICAS II                            ","Immunobiology (Jena. 1979)","B1",2008
"0882-0139","CIÊNCIAS BIOLÓGICAS II                            ","Immunological Investigations","B2",2008
"0105-2896","CIÊNCIAS BIOLÓGICAS II                            ","Immunological Reviews","A1",2008
"0019-2805","CIÊNCIAS BIOLÓGICAS II                            ","Immunology (Oxford. Print)","A2",2008
"0165-2478","CIÊNCIAS BIOLÓGICAS II                            ","Immunology Letters","B1",2008
"1871-5222","CIÊNCIAS BIOLÓGICAS II                            ","Immunology, Endocrine and Metabolic Agents in Medicinal Chemistry","C ",2008
"0892-3973","CIÊNCIAS BIOLÓGICAS II                            ","Immunopharmacology and Immunotoxicology","B4",2008
"1056-6163","CIÊNCIAS BIOLÓGICAS II                            ","Implant Dentistry (Print)","C ",2008
"1071-2690","CIÊNCIAS BIOLÓGICAS II                            ","In Vitro Cellular & Developmental Biology. Animal (Print)","B4",2008
"1054-5476","CIÊNCIAS BIOLÓGICAS II                            ","In Vitro Cellular & Developmental Biology. Plant","B4",2008
"0971-5916","CIÊNCIAS BIOLÓGICAS II                            ","Indian Journal of Medical Research","B2",2008
"0888-5885","CIÊNCIAS BIOLÓGICAS II                            ","Industrial & Engineering Chemistry Research","B2",2008
"0104-0219","CIÊNCIAS BIOLÓGICAS II                            ","Infarma (Brasília)","C ",2008
"0300-8126","CIÊNCIAS BIOLÓGICAS II                            ","Infection","B2",2008
"0019-9567","CIÊNCIAS BIOLÓGICAS II                            ","Infection and Immunity (Print)","A2",2008
"1567-1348","CIÊNCIAS BIOLÓGICAS II                            ","Infection, Genetics and Evolution (Print)","B1",2008
"0360-3997","CIÊNCIAS BIOLÓGICAS II                            ","Inflammation","B3",2008
"1023-3830","CIÊNCIAS BIOLÓGICAS II                            ","Inflammation Research (Printed ed.)","B2",2008
"1078-0998","CIÊNCIAS BIOLÓGICAS II                            ","Inflammatory Bowel Diseases","A1",2008
"0925-4692","CIÊNCIAS BIOLÓGICAS II                            ","Inflammopharmacology (Dordrecht. Print)","C ",2008
"0104-1673","CIÊNCIAS BIOLÓGICAS II                            ","Informe Epidemiologico do SUS (Cessou em 2002. Cont. ISSN 1679-4974 Epidemiologia e Serviços de Saúde)","C ",2008
"0895-8378","CIÊNCIAS BIOLÓGICAS II                            ","Inhalation Toxicology","B2",2008
"0020-1669","CIÊNCIAS BIOLÓGICAS II                            ","Inorganic Chemistry","A2",2008
"1387-7003","CIÊNCIAS BIOLÓGICAS II                            ","Inorganic Chemistry Communications","B2",2008
"0020-1693","CIÊNCIAS BIOLÓGICAS II                            ","Inorganica Chimica Acta (Testo stampato)","B2",2008
"0965-1748","CIÊNCIAS BIOLÓGICAS II                            ","Insect Biochemistry and Molecular Biology","B1",2008
"0962-1075","CIÊNCIAS BIOLÓGICAS II                            ","Insect Molecular Biology (Print)","B1",2008
"0020-1812","CIÊNCIAS BIOLÓGICAS II                            ","Insectes Sociaux (Printed ed.)","B2",2008
"1073-9149","CIÊNCIAS BIOLÓGICAS II                            ","Instrumentation Science & Technology","B4",2008
